2025-11-25 13:05:12 [main] INFO  l.controllers.CommandLineController - Initializing CommandLineController with new Library
2025-11-25 13:05:16 [main] INFO  l.controllers.CommandLineController - User selected menu option: 4
2025-11-25 13:05:16 [main] INFO  l.controllers.CommandLineController - Listing all library items
2025-11-25 13:05:16 [main] INFO  l.controllers.CommandLineController - Displaying all 1 library items
2025-11-25 13:05:36 [main] INFO  l.controllers.CommandLineController - User selected menu option: 4
2025-11-25 13:05:36 [main] INFO  l.controllers.CommandLineController - Listing all library items
2025-11-25 13:05:36 [main] INFO  l.controllers.CommandLineController - Displaying all 1 library items
2025-11-25 13:05:45 [main] INFO  l.controllers.CommandLineController - User selected menu option: 0
2025-11-25 13:05:45 [main] INFO  l.controllers.CommandLineController - User initiated program exit
2025-11-25 13:05:45 [main] INFO  l.controllers.CommandLineController - Initiating program exit sequence
2025-11-25 13:05:45 [main] INFO  l.controllers.CommandLineController - Program exit completed successfully
